key,method,problem,status,enc_time,total_solve_time,vars,cls,lits
1844,SavileRow (GPW),./experiments/mbssp-control/lps/2/085.lp,Unknown,0.9668124,,8232,29644,75698
1844,SavileRow (GPW),./experiments/mbkp-control/lps/2/1_21.lp,Sat,3.3114693,0.71047074,111159,393703,996749
1846,SavileRow (GMTO),./experiments/mbssp-control/lps/2/085.lp,Unknown,1.2611045,,5024,17334,46762
1846,SavileRow (GMTO),./experiments/mbkp-control/lps/2/1_21.lp,Sat,5.8786783,2.5822532,63022,233572,634875
1847,Fun-sCOP (),./experiments/mbkp-control/lps/2/1_21.lp,Sat,62.121933,7.93681,5821996,16242047,47275104
1847,Fun-sCOP (),./experiments/mbssp-control/lps/2/085.lp,Sat,3.3113654,23.062738,117381,327213,956907
1850,Picat-SAT,./experiments/mbssp-control/lps/2/085.lp,Sat,0.72270495,0.58052796,1479,12419,56113
1850,Picat-SAT,./experiments/mbkp-control/lps/2/1_21.lp,Sat,1.5964651,16.966694,41494,357164,1648622
1851,SavileRow (GT),./experiments/mbssp-control/lps/2/086.lp,Unknown,23.780758,,66725,14989289,44937734
1851,SavileRow (GT),./experiments/mbkp-control/lps/2/2_21.lp,Timeout,,,,,
1852,SavileRow (SWC),./experiments/mbkp-control/lps/2/2_21.lp,Memory,,,,,
1852,SavileRow (SWC),./experiments/mbssp-control/lps/2/086.lp,Unknown,2.837147,,263556,2677894,7532756
1853,SavileRow (BDD),./experiments/mbkp-control/lps/2/2_21.lp,Sat,22.704014,0.94242245,1963463,18418514,51534031
1853,SavileRow (BDD),./experiments/mbssp-control/lps/2/086.lp,Unknown,2.4552023,,73079,704599,1962357
1854,SavileRow (GPW),./experiments/mbssp-control/lps/2/086.lp,Unknown,1.0687661,,8680,31906,81570
1854,SavileRow (GPW),./experiments/mbkp-control/lps/2/2_21.lp,Sat,3.3983877,1.027136,111073,393309,995511
1856,SavileRow (GMTO),./experiments/mbkp-control/lps/2/2_21.lp,Sat,5.8939734,0.2418551,62874,232438,631400
1856,SavileRow (GMTO),./experiments/mbssp-control/lps/2/086.lp,Unknown,1.2157834,,5138,18109,48853
1857,Fun-sCOP (),./experiments/mbssp-control/lps/2/086.lp,Unknown,3.9075992,,149641,420095,1231679
1857,Fun-sCOP (),./experiments/mbkp-control/lps/2/2_21.lp,Sat,61.163113,7.467256,5601128,15604749,45395103
1860,Picat-SAT,./experiments/mbkp-control/lps/2/2_21.lp,Sat,4.4311867,1.2073382,41669,359164,1657451
1860,Picat-SAT,./experiments/mbssp-control/lps/2/086.lp,Sat,0.6360061,1.823349,1598,13348,60451
1861,SavileRow (GT),./experiments/mbkp-control/lps/2/3_21.lp,Timeout,,,,,
1861,SavileRow (GT),./experiments/mbssp-control/lps/2/087.lp,Unknown,18.939981,,62575,13154460,39434306
1862,SavileRow (SWC),./experiments/mbssp-control/lps/2/087.lp,Unknown,2.6876717,,265866,2698794,7590386
1862,SavileRow (SWC),./experiments/mbkp-control/lps/2/3_21.lp,Memory,,,,,
1863,SavileRow (BDD),./experiments/mbkp-control/lps/2/3_21.lp,Sat,22.090195,0.8416015,1984225,18561354,51888022
1863,SavileRow (BDD),./experiments/mbssp-control/lps/2/087.lp,Unknown,2.3006074,,69221,665513,1851439
1864,SavileRow (GPW),./experiments/mbkp-control/lps/2/3_21.lp,Sat,3.8896527,0.38278678,111524,395417,1000922
1864,SavileRow (GPW),./experiments/mbssp-control/lps/2/087.lp,Unknown,1.0213747,,8077,29117,74224
1866,SavileRow (GMTO),./experiments/mbkp-control/lps/2/3_21.lp,Sat,6.5315437,4.3017488,63045,234503,638110
1866,SavileRow (GMTO),./experiments/mbssp-control/lps/2/087.lp,Unknown,1.1373708,,5076,17241,46347
1867,Fun-sCOP (),./experiments/mbssp-control/lps/2/087.lp,Unknown,4.079817,,149748,421574,1237258
1867,Fun-sCOP (),./experiments/mbkp-control/lps/2/3_21.lp,Sat,60.402763,7.7611184,5672236,15808483,45993717
1870,Picat-SAT,./experiments/mbkp-control/lps/2/3_21.lp,Sat,1.6135228,4.3675222,41668,359602,1659379
1870,Picat-SAT,./experiments/mbssp-control/lps/2/087.lp,Sat,0.6529357,0.7059359,1495,12316,56002
1871,SavileRow (GT),./experiments/mbkp-control/lps/2/4_21.lp,Timeout,,,,,
1871,SavileRow (GT),./experiments/mbssp-control/lps/2/088.lp,Unknown,20.813742,,67494,16628797,49857271
1872,SavileRow (SWC),./experiments/mbkp-control/lps/2/4_21.lp,Memory,,,,,
1872,SavileRow (SWC),./experiments/mbssp-control/lps/2/088.lp,Unknown,2.5889156,,253326,2574934,7244066
1873,SavileRow (BDD),./experiments/mbssp-control/lps/2/088.lp,Unknown,2.6847262,,80271,787862,2208339
1873,SavileRow (BDD),./experiments/mbkp-control/lps/2/4_21.lp,Sat,23.353441,2.3553474,2055145,19374018,54291367
1874,SavileRow (GPW),./experiments/mbkp-control/lps/2/4_21.lp,Sat,3.2926855,0.47592828,111021,392956,994565
1874,SavileRow (GPW),./experiments/mbssp-control/lps/2/088.lp,Unknown,1.0705172,,8579,31517,80628
1876,SavileRow (GMTO),./experiments/mbkp-control/lps/2/4_21.lp,Sat,5.489057,5.4866033,63091,233976,635505
1876,SavileRow (GMTO),./experiments/mbssp-control/lps/2/088.lp,Unknown,1.2340711,,5132,17867,48198
1877,Fun-sCOP (),./experiments/mbkp-control/lps/2/4_21.lp,Sat,58.592506,6.895537,5684766,15853633,46132233
1877,Fun-sCOP (),./experiments/mbssp-control/lps/2/088.lp,Unknown,4.4055004,,149817,422047,1238945
1880,Picat-SAT,./experiments/mbssp-control/lps/2/088.lp,Sat,0.662762,1.162214,1587,13418,61002
1880,Picat-SAT,./experiments/mbkp-control/lps/2/4_21.lp,Sat,1.9181432,5.4339137,41849,359837,1658877
1881,SavileRow (GT),./experiments/mbkp-control/lps/2/1_22.lp,Timeout,,,,,
1881,SavileRow (GT),./experiments/mbssp-control/lps/2/089.lp,Unknown,27.067764,,74814,20051718,60122461
1882,SavileRow (SWC),./experiments/mbkp-control/lps/2/1_22.lp,Memory,,,,,
1882,SavileRow (SWC),./experiments/mbssp-control/lps/2/089.lp,Unknown,2.8104963,,288636,2928914,8236946
1883,SavileRow (BDD),./experiments/mbssp-control/lps/2/089.lp,Unknown,2.5771098,,86894,840845,2344327
1883,SavileRow (BDD),./experiments/mbkp-control/lps/2/1_22.lp,Sat,22.127161,2.230557,1994377,18761173,52633875
1884,SavileRow (GPW),./experiments/mbkp-control/lps/2/1_22.lp,Sat,3.8731096,1.0892413,111189,393890,997280
1884,SavileRow (GPW),./experiments/mbssp-control/lps/2/089.lp,Unknown,1.0729083,,8913,33005,84564
1886,SavileRow (GMTO),./experiments/mbkp-control/lps/2/1_22.lp,Sat,6.013954,0.20572291,63058,233640,634998
1886,SavileRow (GMTO),./experiments/mbssp-control/lps/2/089.lp,Unknown,1.2083598,,5228,18571,50209
1887,Fun-sCOP (),./experiments/mbssp-control/lps/2/089.lp,Unknown,3.6764874,,167830,472250,1385696
1887,Fun-sCOP (),./experiments/mbkp-control/lps/2/1_22.lp,Sat,68.48298,5.801433,5844441,16301228,47455237
1890,Picat-SAT,./experiments/mbssp-control/lps/2/089.lp,Sat,0.6159656,0.6647006,1640,13581,61631
1890,Picat-SAT,./experiments/mbkp-control/lps/2/1_22.lp,Sat,2.008952,9.105721,41512,357313,1648964
1891,SavileRow (GT),./experiments/mbssp-control/lps/2/090.lp,Unknown,17.666607,,62003,12174513,36495013
1891,SavileRow (GT),./experiments/mbkp-control/lps/2/2_22.lp,Timeout,,,,,
1892,SavileRow (SWC),./experiments/mbssp-control/lps/2/090.lp,Unknown,2.725773,,247716,2517734,7081086
1892,SavileRow (SWC),./experiments/mbkp-control/lps/2/2_22.lp,Memory,,,,,
1893,SavileRow (BDD),./experiments/mbkp-control/lps/2/2_22.lp,Sat,22.955555,0.735192,1949068,18228474,51039149
1893,SavileRow (BDD),./experiments/mbssp-control/lps/2/090.lp,Unknown,2.3367124,,63581,607357,1685669
1894,SavileRow (GPW),./experiments/mbssp-control/lps/2/090.lp,Unknown,1.0023494,,8181,29642,75555
1894,SavileRow (GPW),./experiments/mbkp-control/lps/2/2_22.lp,Sat,3.2072735,0.3034932,111109,393738,996762
1896,SavileRow (GMTO),./experiments/mbkp-control/lps/2/2_22.lp,Sat,5.8264194,2.9488814,62886,232471,631526
1896,SavileRow (GMTO),./experiments/mbssp-control/lps/2/090.lp,Unknown,1.1828157,,5038,17575,47590
1897,Fun-sCOP (),./experiments/mbssp-control/lps/2/090.lp,Unknown,4.550834,,133442,374320,1097140
1897,Fun-sCOP (),./experiments/mbkp-control/lps/2/2_22.lp,Sat,60.19751,11.11653,5622885,15661920,45569266
1900,Picat-SAT,./experiments/mbkp-control/lps/2/2_22.lp,Sat,1.5502603,3.3857915,41673,359205,1657875
1900,Picat-SAT,./experiments/mbssp-control/lps/2/090.lp,Sat,0.72157276,2.2035756,1528,12628,56881
1901,SavileRow (GT),./experiments/mbssp-control/lps/2/091.lp,Unknown,20.291342,,61571,11043985,33102145
1901,SavileRow (GT),./experiments/mbkp-control/lps/2/3_22.lp,Timeout,,,,,
1902,SavileRow (SWC),./experiments/mbkp-control/lps/2/3_22.lp,Memory,,,,,
1902,SavileRow (SWC),./experiments/mbssp-control/lps/2/091.lp,Unknown,2.636901,,248816,2528184,7111986
